                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.82033,                0.65141,                0.99837,                0.59505,                0.75824,                0.68825,                0.46711,                 1.1734,                 1.2638,                  1.286,              0.0002674,              0.0002674,              0.0002674
                     76,                0.82777,                0.66381,                 1.0058,                 0.5647,                0.71715,                0.66931,                0.46531,                 1.1805,                 1.2561,                  1.289,              0.0002575,              0.0002575,              0.0002575
                     77,                0.81683,                0.64009,                 1.0016,                0.63329,                0.66831,                0.68049,                0.47286,                 1.1945,                 1.2727,                 1.3007,              0.0002476,              0.0002476,              0.0002476
                     78,                0.81798,                0.62841,                0.99831,                 0.6607,                0.66135,                0.66968,                0.46381,                 1.1703,                 1.2778,                 1.2904,              0.0002377,              0.0002377,              0.0002377
                     79,                0.79302,                0.61995,                0.98301,                0.63854,                 0.6999,                0.69693,                0.48703,                 1.1749,                 1.2245,                 1.2745,              0.0002278,              0.0002278,              0.0002278
                     80,                0.79728,                0.60916,                0.99029,                0.64478,                0.71705,                0.70456,                0.49275,                 1.1819,                 1.2254,                 1.2829,              0.0002179,              0.0002179,              0.0002179
                     81,                0.80385,                 0.6238,                0.99396,                0.62793,                0.70556,                0.68751,                0.47645,                 1.1767,                 1.2723,                 1.2933,               0.000208,               0.000208,               0.000208
                     82,                0.79303,                0.59443,                 0.9887,                0.66047,                0.69174,                0.68364,                0.47687,                 1.1886,                 1.2764,                 1.3035,              0.0001981,              0.0001981,              0.0001981
                     83,                0.79538,                0.60551,                0.99241,                0.70458,                0.66611,                0.70132,                  0.493,                 1.1729,                  1.267,                 1.2757,              0.0001882,              0.0001882,              0.0001882
                     84,                0.78382,                0.60136,                0.98543,                0.63574,                0.71837,                0.68793,                0.48042,                 1.1889,                 1.2815,                 1.3016,              0.0001783,              0.0001783,              0.0001783
