                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.65882,                 0.4777,                 0.9343,                0.76355,                0.79324,                0.82619,                0.61095,                 1.0087,                0.77606,                 1.1067,               0.000208,               0.000208,               0.000208
                     82,                0.64738,                0.46676,                0.92877,                 0.8055,                0.74435,                0.82585,                0.61359,                0.99817,                0.74902,                 1.1083,              0.0001981,              0.0001981,              0.0001981
                     83,                0.64706,                0.47095,                0.92713,                0.78903,                0.81659,                0.85381,                0.63157,                 1.0014,                0.72096,                 1.1155,              0.0001882,              0.0001882,              0.0001882
                     84,                0.63482,                0.45747,                0.91965,                0.82087,                 0.7508,                0.83315,                0.61431,                0.99994,                0.74494,                 1.1004,              0.0001783,              0.0001783,              0.0001783
                     85,                0.63116,                0.47041,                0.92767,                 0.8224,                0.74548,                0.82315,                0.60845,                 1.0061,                0.76021,                 1.1167,              0.0001684,              0.0001684,              0.0001684
                     86,                0.63867,                0.45164,                0.92655,                0.79014,                0.81326,                0.84382,                0.62017,                0.98873,                0.72317,                 1.0962,              0.0001585,              0.0001585,              0.0001585
                     87,                0.63018,                   0.45,                0.92313,                 0.7806,                0.78571,                0.83538,                0.61504,                0.99675,                 0.7459,                 1.0983,              0.0001486,              0.0001486,              0.0001486
                     88,                0.62585,                0.44645,                0.91776,                0.76673,                0.82115,                0.84449,                0.62525,                0.99875,                0.73156,                 1.1005,              0.0001387,              0.0001387,              0.0001387
                     89,                0.63687,                 0.4584,                 0.9286,                0.77942,                0.78282,                0.83877,                0.61846,                 1.0036,                0.73293,                 1.1058,              0.0001288,              0.0001288,              0.0001288
                     90,                0.61529,                0.44194,                0.91594,                0.75553,                 0.8328,                0.84829,                0.63274,                 0.9971,                 0.7183,                 1.1038,              0.0001189,              0.0001189,              0.0001189
                     91,                 0.5551,                0.34007,                0.87356,                0.77494,                0.78369,                0.82827,                0.61038,                 1.0025,                0.74496,                 1.1193,               0.000109,               0.000109,               0.000109
                     92,                0.52183,                0.31485,                0.86352,                0.75116,                0.79509,                 0.8343,                0.60825,                 1.0111,                0.77364,                  1.119,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.51051,                0.31066,                0.86092,                0.73523,                0.82856,                0.82963,                0.60854,                 1.0192,                0.77066,                 1.1275,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.50046,                0.30038,                0.85618,                0.73576,                0.81033,                0.82584,                0.60844,                 1.0036,                 0.7555,                 1.1093,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.49418,                 0.2963,                0.85414,                0.73043,                0.82375,                0.82812,                0.60761,                 1.0067,                0.75553,                 1.1173,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.48788,                0.29662,                0.85452,                0.72106,                 0.8275,                0.82554,                0.60743,                 1.0113,                0.77107,                 1.1225,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.48599,                0.29288,                 0.8526,                0.75285,                0.80342,                0.82332,                0.60769,                 1.0158,                0.75527,                 1.1269,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                 0.4812,                0.28792,                0.84725,                0.78151,                0.77197,                0.83023,                0.61181,                 1.0151,                 0.7608,                 1.1208,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                  0.476,                0.28768,                0.84718,                0.81074,                0.74636,                0.82826,                0.60956,                 1.0049,                0.75638,                 1.1154,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.48091,                0.29013,                0.85199,                0.73622,                0.83732,                0.83043,                0.60573,                 1.0087,                 0.7626,                 1.1202,               1.99e-05,               1.99e-05,               1.99e-05
